phrase,freq_rf,yamal,khmao,murmansk,arkhangelsk,komi,karelia,krasnoyarsk,sakha,magadan,kamchatka,irkutsk,khabarovsk,sakhalin,tomsk,buryatia,amur,tyumen,perm,primorye,zabaykal,tyva,altay_rep,similar_rf
северный стаж,34879,1056,2926,1256,1417,1039,838,2069,789,254,245,1681,843,299,578,333,283,916,345,421,230,67,62,северный стаж:34879 | год северного стажа:9907 | северный стаж для пенсии:5985 | северный стаж для выхода:3134 | северный стаж для выхода на пенсию:3089 | какой северный стаж:2797 | северный стаж работы:2184 | северный стаж пенсия сколько лет:1941
северный стаж для пенсии,5985,208,687,245,325,233,168,320,152,38,35,275,132,60,108,63,59,146,58,61,17,8,9,северный стаж для пенсии:5985 | северный стаж для выхода на пенсию:3089 | сколько стажа для северной пенсии:1852 | северный стаж для пенсии для мужчин:1689 | северный стаж для пенсии для женщин:1615 | северный стаж для выхода на пенсию мужчинам:1176 | северный стаж для выхода на пенсию женщинам:1081 | сколько нужно северного стажа для пенсии:884
северный стаж не учли,44,0,5,3,0,0,0,1,1,0,0,0,3,1,0,0,0,1,0,0,1,0,0,
пенсия крайний север,18010,674,1442,960,1670,895,645,706,440,182,259,583,456,359,211,102,136,305,123,131,156,81,17,пенсия крайний север:18010 | пенсия в районах крайнего севера:7821 | пенсия приравненные к крайнему северу:4776 | пенсии крайнего севера сколько:4009 | пенсия в районах приравненных к крайнему северу:3482 | выход на пенсию крайний север:3015 | пенсия мужчины крайний север:1949 | выход на пенсию в районах крайнего севера:1484
пенсия в районах крайнего севера,7821,209,926,309,785,345,291,291,133,96,109,372,305,222,123,50,68,161,48,90,33,21,9,пенсия в районах крайнего севера:7821 | пенсия в районах приравненных к крайнему северу:3482 | выход на пенсию в районах крайнего севера:1484 | пенсии работающим в районах крайнего севера:732 | досрочные пенсии в районах крайнего севера:592 | страховая пенсия в районах крайнего севера:516 | пенсия в районах крайнего севера возраст:483 | пенсия в районах крайнего севера для женщин:455
пенсия приравненные к крайнему северу,4776,36,889,22,591,178,156,150,26,13,21,304,232,153,115,33,66,82,32,64,26,33,12,пенсия приравненные к крайнему северу:4776 | пенсия в районах приравненных к крайнему северу:3482 | страховая пенсия приравненных к крайнему северу:306 | пенсия приравненная к крайнему северу льготная:111 | повышение пенсии приравненных к крайнему северу:80 | пенсии новое приравненные к крайнему северу:51 | пенсии работникам приравненным к крайнему северу:32
стаж в районах приравненных к крайнему северу,2036,14,267,9,209,65,79,76,3,2,6,99,123,60,51,23,44,35,12,39,18,13,2,стаж в районах приравненных к крайнему северу:2036
районный коэффициент пенсия,4477,43,228,75,75,72,59,214,74,5,31,146,76,48,122,31,39,93,33,91,68,12,24,районный коэффициент к пенсии:1106 | какой районный коэффициент пенсии:633 | пенсия по старости районный коэффициент:228 | пенсия выплата районного коэффициента:216 | районный коэффициент при расчете пенсии:204 | районный коэффициент пенсии мвд:199 | на пенсию начисляется районный коэффициент:196 | районный коэффициент для назначения пенсии:188
не учли стаж,2641,20,32,13,30,9,17,57,16,0,4,43,15,7,14,6,18,64,29,16,10,0,0,не учтен стаж:2641 | не учтен трудовой стаж:621 | не учли стаж в пенсии:600 | не учтен стаж работы:494 | не учли пенсионный стаж:389 | стаж не учитываемый при назначении пенсии:302 | не учли страховой стаж:276 | пенсионный фонд не учел стаж:174
архивная справка о стаже,486,2,8,2,3,2,0,8,3,4,0,0,1,2,2,0,1,2,4,1,0,0,3,архивная справка о стаже:486 | архивная справка о трудовом стаже:244 | архивная справка о стаже работы:106 | справка о стаже образец архивной справки:74 | получить архивную справку о трудовом стаже:73 | архивная справка о подтверждении стажа:69 | архивная справка о трудовом стаже образец:55 | архивная справка о подтверждении трудового стажа:41
проверить пенсионный стаж,447,0,1,1,1,5,2,19,2,0,0,4,3,0,1,0,0,7,2,3,1,1,0,как проверить пенсионный стаж:253 | госуслуги проверить пенсионный стаж:101 | как проверить пенсионный стаж и баллы:69 | как проверить стаж в пенсионном фонде:64 | как проверить пенсионные баллы и трудовой стаж:44 | как проверить пенсионный стаж через госуслуги:33 | проверить стаж работы в пенсионном:28 | проверить стаж работы в пенсионном фонде:25
выписка ИЛС,4640,13,75,24,36,29,14,66,,,,,,,,,,,,,,,,выписка илс:4640 | выписка илс госуслуги:765 | выписка илс сфр:388 | выписку из индивидуального лицевого счета илс:294 | выписка илс как получить:194 | выписка о состоянии илс:167 | выписка из илс госуслуги получить выписку:141 | выписка из илс через госуслуги:130
