phrase,freq_rf,similar_top
северный стаж,34879,северный стаж:34879 | год северного стажа:9907 | северный стаж для пенсии:5985 | северный стаж для выхода:3134 | северный стаж для выхода на пенсию:3089 | какой северный стаж:2797 | северный стаж работы:2184 | северный стаж пенсия сколько лет:1941 | северный стаж для женщин:1897 | северный стаж для мужчин:1854
северный стаж для пенсии,5985,северный стаж для пенсии:5985 | северный стаж для выхода на пенсию:3089 | сколько стажа для северной пенсии:1852 | северный стаж для пенсии для мужчин:1689 | северный стаж для пенсии для женщин:1615 | северный стаж для выхода на пенсию мужчинам:1176 | северный стаж для выхода на пенсию женщинам:1081 | сколько нужно северного стажа для пенсии:884 | пенсия северный стаж для мужчин сколько:674 | сколько надо северного стажа для пенсии:614
северный стаж не учли,44,
пенсия крайний север,18010,пенсия крайний север:18010 | пенсия в районах крайнего севера:7821 | пенсия приравненные к крайнему северу:4776 | пенсии крайнего севера сколько:4009 | пенсия в районах приравненных к крайнему северу:3482 | выход на пенсию крайний север:3015 | пенсия мужчины крайний север:1949 | выход на пенсию в районах крайнего севера:1484 | какая пенсия на крайнем севере:1468 | пенсия отработавшим на крайнем севере:1385
пенсия в районах крайнего севера,7821,пенсия в районах крайнего севера:7821 | пенсия в районах приравненных к крайнему северу:3482 | выход на пенсию в районах крайнего севера:1484 | пенсии работающим в районах крайнего севера:732 | досрочные пенсии в районах крайнего севера:592 | страховая пенсия в районах крайнего севера:516 | пенсия в районах крайнего севера возраст:483 | пенсия в районах крайнего севера для женщин:455 | пенсия проживающим в районах крайнего севера:425 | пенсия проработавшим в районах крайнего севера:346
пенсия приравненные к крайнему северу,4776,пенсия приравненные к крайнему северу:4776 | пенсия в районах приравненных к крайнему северу:3482 | страховая пенсия приравненных к крайнему северу:306 | пенсия приравненная к крайнему северу льготная:111 | повышение пенсии приравненных к крайнему северу:80 | пенсии новое приравненные к крайнему северу:51 | пенсии работникам приравненным к крайнему северу:32
стаж в районах приравненных к крайнему северу,2036,стаж в районах приравненных к крайнему северу:2036
районный коэффициент пенсия,4477,районный коэффициент к пенсии:1106 | какой районный коэффициент пенсии:633 | пенсия по старости районный коэффициент:228 | пенсия выплата районного коэффициента:216 | районный коэффициент при расчете пенсии:204 | районный коэффициент пенсии мвд:199 | на пенсию начисляется районный коэффициент:196 | районный коэффициент для назначения пенсии:188 | районный коэффициент пенсии военнослужащего:179 | районный коэффициент при начислении пенсии:168
не учли стаж,2641,не учтен стаж:2641 | не учтен трудовой стаж:621 | не учли стаж в пенсии:600 | не учтен стаж работы:494 | не учли пенсионный стаж:389 | стаж не учитываемый при назначении пенсии:302 | не учли страховой стаж:276 | пенсионный фонд не учел стаж:174 | что делать если не учитывают стаж:163 | не учтен советский стаж:122
архивная справка о стаже,486,архивная справка о стаже:486 | архивная справка о трудовом стаже:244 | архивная справка о стаже работы:106 | справка о стаже образец архивной справки:74 | получить архивную справку о трудовом стаже:73 | архивная справка о подтверждении стажа:69 | архивная справка о трудовом стаже образец:55 | архивная справка о подтверждении трудового стажа:41 | выдача архивной справки о трудовом стаже:24 | архивная справка о стаже через госуслуги:22
проверить пенсионный стаж,447,как проверить пенсионный стаж:253 | госуслуги проверить пенсионный стаж:101 | как проверить пенсионный стаж и баллы:69 | как проверить стаж в пенсионном фонде:64 | как проверить пенсионные баллы и трудовой стаж:44 | как проверить пенсионный стаж через госуслуги:33 | проверить стаж работы в пенсионном:28 | проверить стаж работы в пенсионном фонде:25 | где проверить пенсионный стаж:20 | как проверить трудовой стаж по пенсионному фонду:9
выписка ИЛС,4640,выписка илс:4640 | выписка илс госуслуги:765 | выписка илс сфр:388 | выписку из индивидуального лицевого счета илс:294 | выписка илс как получить:194 | выписка о состоянии илс:167 | выписка из илс госуслуги получить выписку:141 | выписка из илс через госуслуги:130 | запросить выписку илс:113 | как заказать выписку из илс:103
отказ в назначении пенсии,2505,отказе в назначении пенсии:2505 | решение об отказе в назначении пенсии:691 | отказ в назначении пенсии заявление:473 | отказ в назначении досрочной пенсии:440 | отказа в назначении страховой пенсии:409 | отказа в назначении пенсии по старости:408 | отказ пенсионного фонда в назначении пенсии:332 | отказ в назначении пенсии сфр:315 | отказ в назначении страховой пенсии по старости:226 | обжалование отказа в назначении пенсии:200
